№ документа,"Дата
реєстрації",Адресати,Короткий зміст
3058/22/03-1,2025-12-09,Офіс ради Європи в Україні; Кабінет Міністрів України,Щодо підтримки проекту міжнародної технічної допомоги Ради Європи «Захист свободи слова та свободи медіа в Україні – Фаза ІІ».
3059/29/16,2025-12-09,"АТ ""Національна суспільна телерадіокомпанія України""",Про проведення у грудні поточного року перевірки Сховища Держкомтелерадіо.
3060/31/06-2,2025-12-10,"ДНУ ""Книжкова палата України імені Івана Федорова""",Держкомтелерадіо не заперечує щодо попередньої оплати поштових марок  за рахунок коштів спеціального фонду.
3061/23/06-2,2025-12-10,Міністерство культури України,Прохання дозволити передбачити ДНУ «Книжкова палата України ім. Івана Федорова» в проєкті договору з АТ «УКРПОШТА»  попередню оплату на придбання поштових марок.
3062/23/10,2025-12-10,"Міністерство економіки, довкілля та сільського господарства України","Щодо надання переліку суб’єктів господарювання державного сектору економіки, у яких передбачено утворення наглядової ради, із зазначенням кількісного складу наглядової ради відповідно до статуту (із зазначенням кількості незалежних членів) та кількістю фактично призначених членів наглядової ради, повноваження яких дійсні."
3063/23/01,2025-12-10,Міністерство цифрової трансформації України,"Щодо забезпечення безпеки мобільних пристроїв, забезпечення фінансування заходів з кіберзахисту та визначення потреби в підвищенні кваліфікації фахівців у сфері кібербезпеки."
3064/32/01,2025-12-10,ЦДАВО України,Про надання паспорта архіву
3065/31/04,2025-12-10,ТОВ «ВД «Дакор»,Лист попередження щодо доставляння обов'язкових примірників видань
3066/31/04,2025-12-10,ТОВ «Агенція «ІРІО»,Лист попередження щодо доставляння обов'язкових примірників видань
3067/31/04,2025-12-10,ТОВ «7БЦ»,Лист попередження про доставляння обов'язкових примірників видань
3068/31/04,2025-12-10,"ТОВ «Видавництво «Колесо
Життя»",Лист попередження про доставляння обов'язкових примірників видань
3069/31/04,2025-12-10,ТОВ «Книгоноша»,Лист попередження щодо доставляння обов'язкових примірників видань
3070/31/04,2025-12-10,ТОВ «НВП «Інтерсервіс»,Лист попередження про доставляння обов'язкових примірників видань
3071/17/03-2,2025-12-10,Куницька І.М.,"Повідомляється про те, що згідно з вимогами Закону України «Про медіа» засоби масової інформації є незалежними у визначенні змісту програм."
